Year,Total,Men,Women,White,African American,Hispanic,Asian,Age 16-24,Age 25-54,Age 55+,White Collar,Blue Collar,Services
2011-12-31,8.9,9.4,8.5,7.9,15.8,11.5,7.0,17.3,7.9,6.6,6.1325802937748,12.216035931233,9.9124225507793
2010-12-31,9.6,10.5,8.6,8.7,16.0,12.5,7.5,18.4,8.6,7.0,6.4588734599572,14.284965962566,10.271155782677
2009-12-31,9.3,10.3,8.1,8.5,14.8,12.1,7.3,17.6,8.3,6.6,6.1882636189858,14.377497380301,9.5709617436931
2008-12-31,5.8,6.1,5.4,5.2,10.1,7.6,4.0,12.8,4.8,3.8,3.7781275662866,8.1607020422065,6.7427448702209
2007-12-31,4.6,4.7,4.5,4.1,8.3,5.6,3.2,10.5,3.7,3.1,3.007912140856,6.0413834603375,5.931819150901
2006-12-31,4.6,4.6,4.6,4.0,8.9,5.2,3.0,10.5,3.8,3.0,3.0613979703241,5.903479928161,5.877295482242
2005-12-31,5.1,5.1,5.1,4.4,10.0,6.0,4.0,11.3,4.1,3.4,3.3942497964702,6.4832695253002,6.4277380779278
2004-12-31,5.5,5.6,5.4,4.8,10.4,7.0,4.4,11.8,4.6,3.7,3.7613103327632,7.2246477714668,6.6543008208127
2003-12-31,6.0,6.3,5.7,5.2,10.8,7.7,6.0,12.4,5.0,4.1,4.1665616752664,7.9997888873908,7.0768886867751
2002-12-31,5.8,5.9,5.6,5.1,10.2,7.5,5.9,12.0,4.8,3.8,4.167552351708,7.7124011338839,6.6252193337178
2001-12-31,4.7,4.8,4.7,4.2,8.6,6.6,4.5,10.6,3.8,3.0,3.2172657719153,6.4295228049409,5.8254116994467
2000-12-31,4.0,3.9,4.1,3.5,7.6,5.7,3.6,9.3,3.1,2.6,2.6830474582805,5.1871702692765,5.168347648476
1999-12-31,4.2,4.1,4.3,3.7,8.0,6.4,,9.9,3.2,2.8,2.9540076683602,5.1260588327473,5.4013885808468
1998-12-31,4.5,4.4,4.6,3.9,8.9,7.2,,10.4,3.5,2.7,3.0688293697024,5.4287432938075,5.9440713323752
1997-12-31,4.9,4.9,5.0,4.2,10.0,7.7,,11.3,3.9,3.0,3.3292140561439,6.1753704078525,6.2961100540888
1996-12-31,5.4,5.4,5.4,4.7,10.5,8.9,,12.0,4.3,3.4,3.7048667821013,6.725150065658,6.8192918911756
1995-12-31,5.6,5.6,5.6,4.9,10.4,9.3,,12.1,4.5,3.7,3.7808921994394,7.0552433059252,7.1116880888157
