Date,Total,Violent,Property,Murder,Forcible Rape,Robbery,Aggr Assault,Burglary,Larceny Theft,Vehicle Theft
2012-12-31,10189902.0,1214464.0,8975438.0,14827.0,84376.0,354522.0,760739.0,2103787.0,6150598.0,721053.0
2011-12-31,10258774.0,1206031.0,9052743.0,14661.0,84175.0,354772.0,752423.0,2185140.0,6151095.0,716508.0
2010-12-31,10363873.0,1251248.0,9112625.0,14772.0,85593.0,369089.0,781844.0,2168457.0,6204601.0,739565.0
2009-12-31,10762956.0,1325896.0,9337060.0,15399.0,89241.0,408742.0,812514.0,2203313.0,6338095.0,795652.0
2008-12-31,11160543.0,1392628.0,9767915.0,16442.0,90479.0,443574.0,842134.0,2228474.0,6588046.0,958629.0
2007-12-31,11251828.0,1408337.0,9843481.0,16929.0,90427.0,445125.0,855856.0,2176140.0,6568572.0,1095769.0
2006-12-31,11401511.0,1418043.0,9983568.0,17030.0,92757.0,447403.0,860853.0,2183746.0,6607013.0,1192809.0
2005-12-31,11565499.0,1390745.0,10174754.0,16740.0,94347.0,417438.0,862220.0,2155448.0,6783447.0,1235859.0
2004-12-31,11679474.0,1360088.0,10319386.0,16148.0,95089.0,401470.0,847381.0,2144446.0,6937089.0,1237851.0
2003-12-31,11826538.0,1383676.0,10442862.0,16528.0,93883.0,414235.0,859030.0,2154834.0,7026802.0,1261226.0
2002-12-31,11878954.0,1423677.0,10455277.0,16229.0,95235.0,420806.0,891407.0,2151252.0,7057370.0,1246646.0
2001-12-31,11876669.0,1439480.0,10437480.0,16037.0,90863.0,423557.0,909023.0,2116531.0,7092267.0,1228391.0
2000-12-31,11608072.0,1425486.0,10182586.0,15586.0,90178.0,408016.0,911706.0,2050992.0,6971590.0,1160002.0
1999-12-31,11634378.0,1426044.0,10208334.0,15522.0,89411.0,409371.0,911740.0,2100739.0,6955520.0,1152075.0
1998-12-31,12475634.0,1531044.0,10944590.0,16914.0,93103.0,446625.0,974402.0,2329950.0,7373886.0,1240754.0
1997-12-31,13194571.0,1634770.0,11558175.0,18208.0,96153.0,498534.0,1023201.0,2460526.0,7743760.0,1354189.0
1996-12-31,13493863.0,1688540.0,11805300.0,19650.0,96250.0,535590.0,1037050.0,2506400.0,7904700.0,1394200.0
